index,name,team,minutes
Omar Richards2024-11-02T15:00:00Z,Omar Richards,Nott'm Forest,0
Murillo Santiago Costa dos Santos2024-11-02T15:00:00Z,Murillo Santiago Costa dos Santos,Nott'm Forest,1
Julián Araujo Zúñiga2024-11-02T15:00:00Z,Julián Araujo Zúñiga,Bournemouth,1
Milos Kerkez2024-11-02T15:00:00Z,Milos Kerkez,Bournemouth,1
Ola Aina2024-11-02T15:00:00Z,Ola Aina,Nott'm Forest,1
Neco Williams2024-11-02T15:00:00Z,Neco Williams,Nott'm Forest,1
Harry Toffolo2024-11-02T15:00:00Z,Harry Toffolo,Nott'm Forest,0
Illia Zabarnyi2024-11-02T15:00:00Z,Illia Zabarnyi,Bournemouth,1
James Hill2024-11-02T15:00:00Z,James Hill,Bournemouth,0
Trevoh Chalobah2024-11-02T17:30:00Z,Trevoh Chalobah,Crystal Palace,1
Marcos Senesi2024-11-02T15:00:00Z,Marcos Senesi,Bournemouth,1
Andrew Omobamidele2024-11-02T15:00:00Z,Andrew Omobamidele,Nott'm Forest,0
Chris Mepham2024-11-02T15:00:00Z,Chris Mepham,Bournemouth,0
Dara O'Shea2024-11-02T15:00:00Z,Dara O'Shea,Ipswich,1
Ashley Young2024-11-02T15:00:00Z,Ashley Young,Everton,1
Séamus Coleman2024-11-02T15:00:00Z,Séamus Coleman,Everton,0
Vitalii Mykolenko2024-11-02T15:00:00Z,Vitalii Mykolenko,Everton,1
Mason Holgate2024-11-02T15:00:00Z,Mason Holgate,Everton,0
James Tarkowski2024-11-02T15:00:00Z,James Tarkowski,Everton,1
Jake O'Brien2024-11-02T15:00:00Z,Jake O'Brien,Everton,0
Jarrad Branthwaite2024-11-02T15:00:00Z,Jarrad Branthwaite,Everton,1
Michael Keane2024-11-02T15:00:00Z,Michael Keane,Everton,1
Nathan Patterson2024-11-02T15:00:00Z,Nathan Patterson,Everton,0
Lewis Hall2024-11-02T12:30:00Z,Lewis Hall,Newcastle,1
Lloyd Kelly2024-11-02T12:30:00Z,Lloyd Kelly,Newcastle,0
Ben Johnson2024-11-02T15:00:00Z,Ben Johnson,Ipswich,1
Luke Woolfenden2024-11-02T15:00:00Z,Luke Woolfenden,Ipswich,1
Harry Clarke2024-11-02T15:00:00Z,Harry Clarke,Ipswich,0
Cameron Burgess2024-11-02T15:00:00Z,Cameron Burgess,Ipswich,1
Harry Amass2024-11-03T16:30:00Z,Harry Amass,Man Utd,0
Jacob Greaves2024-11-02T15:00:00Z,Jacob Greaves,Ipswich,1
Sven Botman2024-11-02T12:30:00Z,Sven Botman,Newcastle,0
Leif Davis2024-11-02T15:00:00Z,Leif Davis,Ipswich,1
Alex Murphy2024-11-02T12:30:00Z,Alex Murphy,Newcastle,0
Kieran Trippier2024-11-02T12:30:00Z,Kieran Trippier,Newcastle,1
Jamal Lewis2024-11-02T12:30:00Z,Jamal Lewis,Newcastle,0
Jamaal Lascelles2024-11-02T12:30:00Z,Jamaal Lascelles,Newcastle,0
Tino Livramento2024-11-02T12:30:00Z,Tino Livramento,Newcastle,1
Axel Tuanzebe2024-11-02T15:00:00Z,Axel Tuanzebe,Ipswich,0
Conor Townsend2024-11-02T15:00:00Z,Conor Townsend,Ipswich,0
Dan Burn2024-11-02T12:30:00Z,Dan Burn,Newcastle,1
Matt Targett2024-11-02T12:30:00Z,Matt Targett,Newcastle,0
Emil Krafth2024-11-02T12:30:00Z,Emil Krafth,Newcastle,0
George Edmundson2024-11-02T15:00:00Z,George Edmundson,Ipswich,0
Elkan Baggott2024-11-02T15:00:00Z,Elkan Baggott,Ipswich,0
Corrie Ndaba2024-11-02T15:00:00Z,Corrie Ndaba,Ipswich,0
Fabian Schär2024-11-02T12:30:00Z,Fabian Schär,Newcastle,1
Miodrag Pivaš2024-11-02T12:30:00Z,Miodrag Pivaš,Newcastle,0
Noussair Mazraoui2024-11-03T16:30:00Z,Noussair Mazraoui,Man Utd,1
Leny Yoro2024-11-03T16:30:00Z,Leny Yoro,Man Utd,0
