index,name,team,minutes
Daniel Castelo Podence2024-11-09T15:00:00Z,Daniel Castelo Podence,Wolves,0
Kasey McAteer2024-11-10T14:00:00Z,Kasey McAteer,Leicester,0
Stephy Mavididi2024-11-10T14:00:00Z,Stephy Mavididi,Leicester,1
Tawanda Chirewa2024-11-09T15:00:00Z,Tawanda Chirewa,Wolves,0
Callum Hudson-Odoi2024-11-10T14:00:00Z,Callum Hudson-Odoi,Nott'm Forest,1
Boubakary Soumaré2024-11-10T14:00:00Z,Boubakary Soumaré,Leicester,1
Abdul Fatawu2024-11-10T14:00:00Z,Abdul Fatawu,Leicester,1
Mario Lemina2024-11-09T15:00:00Z,Mario Lemina,Wolves,1
Adama Traoré2024-11-09T15:00:00Z,Adama Traoré,Fulham,1
Alex Iwobi2024-11-09T15:00:00Z,Alex Iwobi,Fulham,1
Alex Mighten2024-11-10T14:00:00Z,Alex Mighten,Nott'm Forest,0
Andreas Hoelgebaum Pereira2024-11-09T15:00:00Z,Andreas Hoelgebaum Pereira,Fulham,1
Will Alves2024-11-10T14:00:00Z,Will Alves,Leicester,0
Wilfred Ndidi2024-11-10T14:00:00Z,Wilfred Ndidi,Leicester,1
Anthony Elanga2024-11-10T14:00:00Z,Anthony Elanga,Nott'm Forest,1
Wanya Marçal-Madivádua2024-11-10T14:00:00Z,Wanya Marçal-Madivádua,Leicester,0
Luke Harris2024-11-09T15:00:00Z,Luke Harris,Fulham,0
Luke Cundle2024-11-09T15:00:00Z,Luke Cundle,Wolves,0
Michael Golding2024-11-10T14:00:00Z,Michael Golding,Leicester,0
Pablo Sarabia2024-11-09T15:00:00Z,Pablo Sarabia,Wolves,1
Lewis O'Brien2024-11-10T14:00:00Z,Lewis O'Brien,Nott'm Forest,0
Bobby De Cordova-Reid2024-11-10T14:00:00Z,Bobby De Cordova-Reid,Leicester,1
Boubacar Traoré2024-11-09T15:00:00Z,Boubacar Traoré,Wolves,0
Danilo dos Santos de Oliveira2024-11-10T14:00:00Z,Danilo dos Santos de Oliveira,Nott'm Forest,0
Hamza Choudhury2024-11-10T14:00:00Z,Hamza Choudhury,Leicester,0
Nicolás Domínguez2024-11-10T14:00:00Z,Nicolás Domínguez,Nott'm Forest,1
Harrison Reed2024-11-09T15:00:00Z,Harrison Reed,Fulham,0
Joe Hodge2024-11-09T15:00:00Z,Joe Hodge,Wolves,0
Harry Wilson2024-11-09T15:00:00Z,Harry Wilson,Fulham,1
Harry Winks2024-11-10T14:00:00Z,Harry Winks,Leicester,1
Oliver Skipp2024-11-10T14:00:00Z,Oliver Skipp,Leicester,1
Rodrigo Martins Gomes2024-11-09T15:00:00Z,Rodrigo Martins Gomes,Wolves,0
Jean-Ricner Bellegarde2024-11-09T15:00:00Z,Jean-Ricner Bellegarde,Wolves,1
Hwang Hee-chan2024-11-09T15:00:00Z,Hwang Hee-chan,Wolves,0
Ibrahim Sangaré2024-11-10T14:00:00Z,Ibrahim Sangaré,Nott'm Forest,0
Martial Godo2024-11-09T15:00:00Z,Martial Godo,Fulham,0
Gonçalo Manuel Ganchinho Guedes2024-11-09T15:00:00Z,Gonçalo Manuel Ganchinho Guedes,Wolves,1
Elliot Anderson2024-11-10T14:00:00Z,Elliot Anderson,Nott'm Forest,1
João Victor Gomes da Silva2024-11-09T15:00:00Z,João Victor Gomes da Silva,Wolves,1
Facundo Buonanotte2024-11-10T14:00:00Z,Facundo Buonanotte,Leicester,1
João Pedro Ferreira Silva2024-11-10T14:00:00Z,João Pedro Ferreira Silva,Nott'm Forest,1
Enso González2024-11-09T15:00:00Z,Enso González,Wolves,0
Francisco Jorge Tomás Oliveira2024-11-09T15:00:00Z,Francisco Jorge Tomás Oliveira,Wolves,0
Emile Smith Rowe2024-11-09T15:00:00Z,Emile Smith Rowe,Fulham,1
Josh King2024-11-09T15:00:00Z,Josh King,Fulham,0
Ryan Yates2024-11-10T14:00:00Z,Ryan Yates,Nott'm Forest,1
Eric da Silva Moreira2024-11-10T14:00:00Z,Eric da Silva Moreira,Nott'm Forest,0
Josh Bowler2024-11-10T14:00:00Z,Josh Bowler,Nott'm Forest,0
Jordan Ayew2024-11-10T14:00:00Z,Jordan Ayew,Leicester,1
Saša Lukić2024-11-09T15:00:00Z,Saša Lukić,Fulham,0
Orel Mangala2024-11-09T15:00:00Z,Orel Mangala,Everton,1
Philip Billing2024-11-09T15:00:00Z,Philip Billing,Bournemouth,0
Ryan Christie2024-11-09T15:00:00Z,Ryan Christie,Bournemouth,1
Tyler Adams2024-11-09T15:00:00Z,Tyler Adams,Bournemouth,1
Romain Faivre2024-11-09T15:00:00Z,Romain Faivre,Bournemouth,0
Mohammed Kudus2024-11-09T15:00:00Z,Mohammed Kudus,West Ham,1
Tomáš Souček2024-11-09T15:00:00Z,Tomáš Souček,West Ham,1
George Earthy2024-11-09T15:00:00Z,George Earthy,West Ham,0
Edson Álvarez Velázquez2024-11-09T15:00:00Z,Edson Álvarez Velázquez,West Ham,1
Justin Kluivert2024-11-09T15:00:00Z,Justin Kluivert,Bournemouth,1
Jarrod Bowen2024-11-09T15:00:00Z,Jarrod Bowen,West Ham,1
Jaidon Anthony2024-11-09T15:00:00Z,Jaidon Anthony,Bournemouth,0
Hamed Traorè2024-11-09T15:00:00Z,Hamed Traorè,Bournemouth,0
Guido Rodríguez2024-11-09T15:00:00Z,Guido Rodríguez,West Ham,1
Lewis Cook2024-11-09T15:00:00Z,Lewis Cook,Bournemouth,1
David Brooks2024-11-09T15:00:00Z,David Brooks,Bournemouth,1
Dango Ouattara2024-11-09T15:00:00Z,Dango Ouattara,Bournemouth,1
Crysencio Summerville2024-11-09T15:00:00Z,Crysencio Summerville,West Ham,1
Antoine Semenyo2024-11-09T15:00:00Z,Antoine Semenyo,Bournemouth,1
Andy Irving2024-11-09T15:00:00Z,Andy Irving,West Ham,0
Alex Scott2024-11-09T15:00:00Z,Alex Scott,Bournemouth,1
Lucas Tolentino Coelho de Lima2024-11-09T15:00:00Z,Lucas Tolentino Coelho de Lima,West Ham,1
Luis Guilherme Lira dos Santos2024-11-09T15:00:00Z,Luis Guilherme Lira dos Santos,West Ham,0
Luis Sinisterra2024-11-09T15:00:00Z,Luis Sinisterra,Bournemouth,1
Marcus Tavernier2024-11-09T15:00:00Z,Marcus Tavernier,Bournemouth,1
Ramón Sosa2024-11-10T14:00:00Z,Ramón Sosa,Nott'm Forest,1
Chiedozie Ogbene2024-11-10T14:00:00Z,Chiedozie Ogbene,Ipswich,1
Jack Clarke2024-11-10T14:00:00Z,Jack Clarke,Ipswich,1
Jens Cajuste2024-11-10T14:00:00Z,Jens Cajuste,Ipswich,1
Sandro Tonali2024-11-10T14:00:00Z,Sandro Tonali,Newcastle,1
Sam Szmodics2024-11-10T14:00:00Z,Sam Szmodics,Ipswich,1
Sean Longstaff2024-11-10T14:00:00Z,Sean Longstaff,Newcastle,1
Sam Morsy2024-11-10T14:00:00Z,Sam Morsy,Ipswich,1
Dwight McNeil2024-11-09T15:00:00Z,Dwight McNeil,Everton,1
